               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10674,            0.058861,            0.037737,          0.00058009,            0.039619,          0.00050746,          0.00010253,             0.10208,            0.052377,            0.029998,            0.070048,            0.003328,            0.003328
                   1,            0.094669,            0.059358,            0.023822,              0.8185,            0.046057,            0.037171,            0.010056,            0.086568,            0.055136,            0.023577,            0.040045,            0.006658,            0.006658
                   2,            0.083488,            0.058211,            0.018783,             0.38709,             0.19055,            0.093182,            0.023592,             0.07779,            0.053665,             0.01624,            0.010038,           0.0099847,           0.0099847
                   3,             0.07814,             0.05781,            0.014152,             0.27446,             0.24746,             0.18729,            0.052184,            0.073426,            0.052056,            0.013266,           0.0099851,           0.0099851,           0.0099851
                   4,            0.074112,            0.057157,            0.012019,             0.37111,              0.2851,             0.24363,            0.076246,            0.068786,            0.052798,             0.01101,           0.0099851,           0.0099851,           0.0099851
                   5,            0.071483,            0.056876,            0.010921,             0.40327,             0.29111,             0.26475,            0.082938,            0.067778,            0.051616,            0.011384,           0.0099802,           0.0099802,           0.0099802
                   6,            0.070096,            0.055575,            0.010217,             0.36378,             0.35532,             0.29569,             0.10077,            0.065815,            0.051227,           0.0097929,           0.0099753,           0.0099753,           0.0099753
                   7,            0.068553,            0.055816,           0.0093855,             0.42631,             0.38614,             0.33496,               0.114,            0.064473,            0.050852,           0.0086518,           0.0099703,           0.0099703,           0.0099703
                   8,            0.067444,            0.055833,           0.0088837,             0.46615,             0.35392,             0.33545,             0.11212,            0.064819,            0.052234,           0.0090832,           0.0099654,           0.0099654,           0.0099654
                   9,            0.066654,            0.054177,           0.0086708,             0.51271,              0.3753,             0.35685,             0.12805,            0.063223,            0.050989,           0.0084122,           0.0099604,           0.0099604,           0.0099604
                  10,            0.066328,            0.055475,           0.0080306,             0.50779,             0.39426,             0.38889,             0.13353,             0.06326,            0.049929,           0.0070955,           0.0099555,           0.0099555,           0.0099555
                  11,            0.064934,            0.054069,           0.0076893,             0.48995,             0.39725,             0.37428,             0.13117,            0.063161,             0.05133,           0.0077242,           0.0099505,           0.0099505,           0.0099505
                  12,            0.064072,            0.053327,           0.0076933,             0.54712,              0.4464,             0.42866,              0.1566,            0.060263,             0.05009,            0.006783,           0.0099456,           0.0099456,           0.0099456
                  13,            0.063586,            0.053746,            0.007044,             0.55851,              0.4465,             0.44941,             0.16636,            0.059303,             0.04914,           0.0063055,           0.0099406,           0.0099406,           0.0099406
                  14,            0.062894,            0.052839,           0.0067344,             0.57798,             0.47838,             0.48429,             0.18002,            0.059078,            0.048349,            0.006133,           0.0099357,           0.0099357,           0.0099357
                  15,            0.062046,             0.05232,           0.0064011,             0.66553,             0.50476,             0.53136,             0.19804,            0.057624,            0.047854,           0.0053633,           0.0099307,           0.0099307,           0.0099307
                  16,            0.061484,            0.052693,           0.0060995,             0.58573,             0.50946,             0.50021,             0.18527,            0.058677,            0.048398,           0.0062505,           0.0099258,           0.0099258,           0.0099258
                  17,            0.061074,            0.052297,            0.006097,             0.65704,             0.51494,             0.54208,             0.20894,            0.057403,            0.047506,           0.0053798,           0.0099208,           0.0099208,           0.0099208
                  18,            0.060522,            0.052165,           0.0059501,              0.6435,             0.55684,             0.57174,             0.22671,            0.055865,            0.047331,            0.004954,           0.0099159,           0.0099159,           0.0099159
                  19,             0.05994,            0.051962,           0.0055895,             0.65614,             0.56339,             0.58384,             0.22614,            0.055669,            0.046965,           0.0049336,           0.0099109,           0.0099109,           0.0099109
                  20,            0.059094,            0.050589,            0.005508,             0.66828,             0.53633,             0.56667,             0.22353,            0.055622,            0.047093,           0.0048212,            0.009906,            0.009906,            0.009906
                  21,            0.058848,            0.051304,           0.0052305,              0.6938,             0.55953,             0.59801,             0.24386,            0.054656,            0.046594,           0.0043555,            0.009901,            0.009901,            0.009901
                  22,            0.057908,            0.049622,            0.005039,             0.71354,             0.60443,             0.63028,             0.25739,            0.053892,            0.045874,           0.0043422,           0.0098961,           0.0098961,           0.0098961
                  23,            0.057922,            0.050605,           0.0051944,             0.70189,             0.58973,             0.61126,             0.24919,            0.054192,            0.046504,             0.00407,           0.0098911,           0.0098911,           0.0098911
