               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10493,            0.059812,            0.034359,            0.001044,            0.071504,           0.0025401,          0.00057317,            0.099541,            0.052629,            0.027428,            0.070048,            0.003328,            0.003328
                   1,            0.091382,            0.059451,            0.023192,              0.5601,            0.066532,            0.033977,           0.0080423,            0.087356,            0.053341,            0.024693,            0.040045,            0.006658,            0.006658
                   2,            0.083551,            0.058312,            0.019519,             0.36537,              0.1566,            0.075317,            0.019486,            0.079437,            0.060159,              0.0176,            0.010038,           0.0099847,           0.0099847
                   3,            0.078887,            0.056931,            0.015284,             0.47344,             0.20599,             0.15028,            0.043063,            0.074231,            0.053249,            0.014634,           0.0099851,           0.0099851,           0.0099851
                   4,            0.075484,            0.057538,            0.013153,             0.34224,             0.27039,              0.1801,            0.054942,            0.071374,            0.052133,            0.012373,           0.0099851,           0.0099851,           0.0099851
                   5,             0.07329,              0.0576,            0.011874,             0.35013,             0.27041,             0.21375,            0.068557,            0.069507,            0.052322,            0.011591,           0.0099802,           0.0099802,           0.0099802
                   6,             0.07213,            0.055936,            0.011407,             0.36426,              0.2983,             0.24737,            0.078834,            0.068379,             0.05161,            0.010756,           0.0099753,           0.0099753,           0.0099753
                   7,            0.071168,            0.057493,            0.010588,             0.39503,             0.31853,             0.27669,            0.085489,            0.067518,            0.052246,            0.010118,           0.0099703,           0.0099703,           0.0099703
                   8,            0.069858,            0.056179,            0.010014,             0.41957,              0.3323,             0.29406,            0.093896,            0.065743,            0.051454,           0.0096407,           0.0099654,           0.0099654,           0.0099654
                   9,            0.068929,            0.055559,           0.0099173,             0.42216,             0.36302,              0.3028,            0.096234,            0.066332,            0.051891,            0.010353,           0.0099604,           0.0099604,           0.0099604
                  10,             0.06831,            0.055898,           0.0091922,             0.43989,             0.39493,             0.35338,             0.12824,             0.06361,            0.050852,           0.0088075,           0.0099555,           0.0099555,           0.0099555
                  11,            0.067769,            0.055286,           0.0088759,             0.44039,             0.36914,             0.33917,             0.11476,            0.063827,            0.050904,           0.0087636,           0.0099505,           0.0099505,           0.0099505
