               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10892,             0.15418,            0.027561,             0.57168,            0.044303,            0.015352,           0.0036509,             0.10038,             0.16338,            0.023361,            0.070192,            0.003312,            0.003312
                   1,             0.09732,             0.16226,            0.019299,             0.32236,             0.10244,            0.045932,            0.011734,            0.093927,             0.17131,             0.01954,            0.040189,            0.006642,            0.006642
                   2,            0.092892,              0.1645,            0.016323,             0.16724,             0.14851,            0.076864,            0.020309,            0.089005,             0.16298,             0.01708,            0.010182,           0.0099688,           0.0099688
                   3,            0.088179,             0.16205,            0.014094,             0.16818,             0.17852,             0.10617,            0.028649,            0.084857,             0.16907,            0.014406,           0.0099851,           0.0099851,           0.0099851
                   4,            0.085388,             0.16396,            0.012904,             0.30418,             0.22559,             0.14647,            0.042033,            0.081996,             0.16585,            0.013757,           0.0099851,           0.0099851,           0.0099851
                   5,            0.083788,             0.16496,             0.01176,             0.28378,             0.24314,             0.17839,            0.052523,            0.080797,             0.16015,            0.012068,           0.0099802,           0.0099802,           0.0099802
                   6,            0.082903,             0.16043,            0.011353,             0.32203,             0.28254,             0.20855,            0.061762,            0.079557,             0.15879,            0.011964,           0.0099753,           0.0099753,           0.0099753
                   7,            0.082136,             0.16282,            0.010525,             0.30914,             0.25659,             0.18783,             0.05607,             0.07971,             0.16231,             0.01159,           0.0099703,           0.0099703,           0.0099703
                   8,            0.081078,             0.16057,            0.010193,             0.33912,             0.28826,             0.21605,            0.061605,            0.079628,             0.16118,            0.011326,           0.0099654,           0.0099654,           0.0099654
                   9,            0.080413,             0.15881,            0.010033,             0.35747,             0.31731,             0.24691,            0.074355,            0.078016,             0.16171,            0.010559,           0.0099604,           0.0099604,           0.0099604
                  10,            0.079867,             0.15766,           0.0091659,             0.34546,             0.30967,             0.25248,            0.076887,            0.076988,             0.15851,            0.010103,           0.0099555,           0.0099555,           0.0099555
                  11,            0.079257,             0.15722,           0.0089315,             0.41308,             0.34627,             0.29297,            0.089946,            0.076315,             0.15713,           0.0090771,           0.0099505,           0.0099505,           0.0099505
                  12,            0.078525,             0.15631,            0.008577,             0.41537,             0.33851,             0.29697,            0.092609,             0.07571,             0.15724,           0.0089544,           0.0099456,           0.0099456,           0.0099456
                  13,            0.078194,             0.15665,           0.0083562,             0.42001,             0.34967,             0.30894,            0.096499,            0.076463,             0.16113,           0.0092921,           0.0099406,           0.0099406,           0.0099406
                  14,            0.078003,             0.15563,            0.007998,             0.44514,             0.36039,              0.3244,             0.10648,            0.075352,             0.15593,           0.0087827,           0.0099357,           0.0099357,           0.0099357
                  15,            0.077081,             0.15551,           0.0080891,             0.44315,             0.36356,             0.34981,             0.10952,            0.074251,             0.15278,           0.0084984,           0.0099307,           0.0099307,           0.0099307
                  16,            0.077075,             0.15478,           0.0074485,             0.40496,             0.39826,             0.34717,             0.11659,            0.074012,             0.15511,           0.0080268,           0.0099258,           0.0099258,           0.0099258
                  17,            0.076389,             0.15431,           0.0075209,             0.47531,             0.36975,             0.34386,             0.10929,            0.074385,             0.15369,           0.0082888,           0.0099208,           0.0099208,           0.0099208
                  18,            0.076152,             0.15452,           0.0071581,             0.50566,             0.40464,             0.39039,              0.1284,            0.072827,             0.15131,           0.0079309,           0.0099159,           0.0099159,           0.0099159
                  19,            0.075475,             0.15126,            0.007003,              0.4761,             0.39269,             0.35872,             0.12017,            0.073569,              0.1577,           0.0076143,           0.0099109,           0.0099109,           0.0099109
                  20,            0.075591,             0.15081,           0.0069808,             0.47729,             0.41299,             0.38488,             0.12955,            0.072588,             0.15252,           0.0073774,            0.009906,            0.009906,            0.009906
                  21,            0.075166,             0.15136,           0.0067236,             0.51545,             0.43051,             0.41403,             0.13805,            0.072138,             0.15009,           0.0067215,            0.009901,            0.009901,            0.009901
                  22,             0.07435,             0.14986,           0.0064449,             0.54467,             0.42173,             0.43478,             0.14323,            0.071799,             0.15012,           0.0064625,           0.0098961,           0.0098961,           0.0098961
                  23,            0.074346,             0.14993,           0.0065279,              0.5104,             0.43433,             0.42381,             0.14173,            0.071662,             0.15522,           0.0066844,           0.0098911,           0.0098911,           0.0098911
                  24,            0.073658,              0.1501,           0.0061663,             0.54009,             0.43112,             0.41242,             0.13586,            0.072641,             0.15669,           0.0068567,           0.0098861,           0.0098861,           0.0098861
                  25,             0.07345,             0.14554,           0.0061875,             0.53517,               0.451,             0.45038,             0.15395,            0.070576,             0.14716,           0.0062702,           0.0098812,           0.0098812,           0.0098812
                  26,            0.072929,             0.14675,            0.005871,             0.57306,             0.48491,             0.48154,             0.16169,            0.069802,              0.1463,           0.0057629,           0.0098763,           0.0098763,           0.0098763
                  27,            0.072709,             0.14823,           0.0057519,             0.56231,             0.47497,             0.47529,             0.16435,            0.070494,             0.15157,           0.0058166,           0.0098713,           0.0098713,           0.0098713
                  28,            0.072573,             0.14493,           0.0058206,              0.5842,             0.45867,             0.46741,             0.16873,             0.07001,             0.14819,           0.0059558,           0.0098664,           0.0098664,           0.0098664
                  29,            0.072384,             0.14685,            0.005467,             0.55239,             0.48693,              0.4804,              0.1721,            0.069252,             0.14722,           0.0056389,           0.0098614,           0.0098614,           0.0098614
                  30,            0.071857,             0.14532,           0.0055072,              0.6043,             0.47763,              0.4912,             0.17869,            0.069229,             0.14514,           0.0055663,           0.0098565,           0.0098565,           0.0098565
                  31,            0.071519,             0.14375,           0.0055974,             0.57766,             0.46767,             0.48719,             0.17341,            0.068635,             0.14791,           0.0056129,           0.0098515,           0.0098515,           0.0098515
                  32,            0.071457,             0.14311,           0.0052073,             0.55363,             0.49862,              0.4893,             0.17717,            0.068731,             0.14637,           0.0054242,           0.0098466,           0.0098466,           0.0098466
                  33,            0.071216,             0.14275,           0.0050901,             0.61506,             0.50554,             0.52668,             0.19056,             0.06817,             0.14519,           0.0049244,           0.0098416,           0.0098416,           0.0098416
                  34,            0.070556,              0.1418,           0.0049907,              0.6421,             0.49486,             0.52747,             0.19181,            0.067973,              0.1441,           0.0051921,           0.0098367,           0.0098367,           0.0098367
                  35,            0.070472,             0.14265,           0.0050797,             0.61554,             0.51444,             0.52894,             0.19391,            0.068192,             0.14573,           0.0048273,           0.0098317,           0.0098317,           0.0098317
                  36,            0.070463,             0.14208,           0.0048423,             0.60626,             0.51116,             0.51088,             0.18425,            0.067627,             0.14517,           0.0054377,           0.0098268,           0.0098268,           0.0098268
                  37,            0.069807,             0.14219,           0.0049559,              0.6096,             0.52096,             0.53435,             0.19295,            0.067319,             0.14295,           0.0050229,           0.0098218,           0.0098218,           0.0098218
                  38,            0.069862,             0.14155,           0.0046558,             0.57183,             0.51336,             0.52146,             0.19227,            0.067415,               0.144,           0.0047188,           0.0098169,           0.0098169,           0.0098169
                  39,            0.069502,             0.14136,           0.0047977,             0.61368,             0.53552,             0.54586,             0.20226,            0.066753,             0.14343,           0.0049007,           0.0098119,           0.0098119,           0.0098119
                  40,            0.069258,             0.14172,           0.0045426,              0.6243,             0.52133,             0.54315,             0.20322,            0.066579,             0.14418,           0.0045921,            0.009807,            0.009807,            0.009807
                  41,            0.068854,             0.13873,           0.0044476,             0.66137,             0.51706,             0.55985,             0.21058,            0.066521,             0.14217,           0.0047016,            0.009802,            0.009802,            0.009802
                  42,            0.069134,             0.13874,           0.0046621,             0.61483,             0.53881,             0.54802,             0.20593,            0.066449,             0.14463,           0.0049323,            0.009797,            0.009797,            0.009797
                  43,            0.068975,             0.13958,           0.0045571,             0.65417,             0.54345,             0.57613,             0.21442,            0.066395,             0.14186,           0.0045295,           0.0097921,           0.0097921,           0.0097921
                  44,            0.069436,             0.14414,           0.0047763,             0.63818,             0.54995,             0.56854,             0.21551,            0.066002,             0.14308,           0.0043699,           0.0097871,           0.0097871,           0.0097871
                  45,            0.069008,             0.13971,           0.0048239,             0.63512,             0.55431,             0.58097,             0.22222,            0.066453,             0.14236,           0.0044193,           0.0097822,           0.0097822,           0.0097822
                  46,            0.068756,             0.14043,            0.004708,             0.66545,             0.53355,             0.57098,             0.22343,            0.065898,             0.14199,           0.0046872,           0.0097773,           0.0097773,           0.0097773
                  47,            0.068776,             0.13954,           0.0045142,             0.66657,             0.53489,             0.57833,             0.22486,            0.065472,             0.14098,           0.0041911,           0.0097723,           0.0097723,           0.0097723
                  48,            0.068374,             0.13832,           0.0044641,              0.6625,             0.55771,             0.57857,             0.22401,            0.065146,             0.14016,            0.004185,           0.0097674,           0.0097674,           0.0097674
                  49,            0.068345,             0.14071,           0.0045361,             0.66884,             0.53297,             0.57025,             0.22008,            0.066052,             0.14141,           0.0041117,           0.0097624,           0.0097624,           0.0097624
                  50,            0.067926,             0.13825,           0.0042757,             0.65877,             0.55387,             0.58234,             0.22733,            0.065701,             0.14343,           0.0041632,           0.0097575,           0.0097575,           0.0097575
                  51,            0.068167,             0.13931,           0.0042916,             0.66433,             0.55794,             0.58877,             0.23652,            0.064679,             0.14264,           0.0040056,           0.0097525,           0.0097525,           0.0097525
                  52,            0.067972,             0.13739,           0.0043741,             0.68478,             0.57703,             0.60676,             0.23998,            0.064308,             0.13809,           0.0040726,           0.0097476,           0.0097476,           0.0097476
                  53,            0.067681,             0.13489,           0.0043692,             0.65408,             0.59183,             0.60567,             0.24172,            0.064181,             0.13832,           0.0039014,           0.0097426,           0.0097426,           0.0097426
                  54,            0.067363,             0.13659,           0.0042454,             0.67948,             0.58922,             0.61167,              0.2471,            0.063798,             0.13845,           0.0037769,           0.0097377,           0.0097377,           0.0097377
                  55,            0.066789,             0.13644,           0.0042776,             0.69875,             0.56608,              0.6108,             0.24132,            0.064304,             0.13925,           0.0041108,           0.0097327,           0.0097327,           0.0097327
                  56,             0.06765,             0.13764,           0.0042258,             0.69804,             0.55388,             0.60244,             0.23925,            0.064167,             0.13854,           0.0040539,           0.0097278,           0.0097278,           0.0097278
                  57,            0.067084,             0.13729,           0.0040533,             0.70723,             0.61156,             0.63902,              0.2572,            0.063286,             0.13883,           0.0036927,           0.0097228,           0.0097228,           0.0097228
                  58,            0.066956,             0.13476,           0.0042003,             0.70348,             0.59677,             0.64208,             0.25765,             0.06324,             0.13751,           0.0038599,           0.0097179,           0.0097179,           0.0097179
                  59,            0.066925,             0.13781,           0.0040737,             0.67732,             0.60469,             0.63574,             0.25477,            0.063332,             0.13776,           0.0036447,           0.0097129,           0.0097129,           0.0097129
                  60,            0.066453,             0.13488,           0.0039521,             0.72264,             0.59453,               0.645,             0.27159,            0.062474,             0.13766,           0.0034995,            0.009708,            0.009708,            0.009708
                  61,             0.06675,              0.1364,           0.0039579,              0.6794,             0.62072,             0.64483,             0.26643,            0.062731,             0.13745,           0.0035538,            0.009703,            0.009703,            0.009703
                  62,            0.066508,             0.13636,           0.0039848,              0.7266,             0.58891,             0.64639,             0.27285,            0.062534,             0.13751,           0.0035222,            0.009698,            0.009698,            0.009698
                  63,            0.066406,             0.13733,           0.0038626,             0.69672,             0.59414,              0.6393,             0.26302,             0.06239,             0.13717,           0.0036862,           0.0096931,           0.0096931,           0.0096931
                  64,            0.066417,             0.13635,           0.0040051,             0.69983,             0.61678,             0.64621,             0.26741,            0.062145,             0.13559,            0.003574,           0.0096881,           0.0096881,           0.0096881
                  65,            0.065995,             0.13506,           0.0039423,             0.72865,             0.59289,             0.65624,             0.26511,            0.062922,              0.1384,            0.003522,           0.0096832,           0.0096832,           0.0096832
                  66,             0.06583,             0.13517,           0.0037911,             0.73418,             0.61757,             0.66988,             0.28486,            0.061631,             0.13589,           0.0032733,           0.0096783,           0.0096783,           0.0096783
                  67,            0.065549,             0.13584,           0.0037728,             0.71823,             0.61333,             0.65761,             0.27511,            0.061749,             0.13511,           0.0033389,           0.0096733,           0.0096733,           0.0096733
                  68,            0.065867,             0.13448,           0.0038147,             0.72341,             0.62283,             0.66811,             0.28258,            0.061802,              0.1349,           0.0034042,           0.0096684,           0.0096684,           0.0096684
                  69,             0.06548,             0.13486,            0.003759,             0.72442,             0.63117,              0.6686,             0.28728,            0.061235,              0.1355,           0.0033246,           0.0096634,           0.0096634,           0.0096634
                  70,            0.065743,             0.13503,           0.0036987,             0.73903,             0.60509,             0.66366,               0.279,            0.062043,              0.1363,           0.0034014,           0.0096585,           0.0096585,           0.0096585
                  71,            0.065172,             0.13379,           0.0036045,             0.73019,             0.60939,             0.66846,             0.28809,            0.061295,             0.13482,           0.0032584,           0.0096535,           0.0096535,           0.0096535
