               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093687,            0.057311,            0.025818,             0.63704,             0.11409,            0.088053,            0.028363,            0.079316,            0.054887,            0.018684,            0.070192,            0.003312,            0.003312
                   1,            0.076821,            0.055209,            0.013313,             0.21787,             0.26204,             0.15338,            0.050235,            0.073033,            0.054176,            0.013548,            0.040189,            0.006642,            0.006642
                   2,            0.072616,            0.054561,            0.010616,             0.30492,             0.27487,             0.19863,            0.065726,            0.070329,            0.055445,            0.011428,            0.010182,           0.0099688,           0.0099688
                   3,            0.068909,             0.05318,           0.0095125,             0.42102,             0.24012,             0.19011,              0.0603,            0.073152,            0.065052,            0.013681,           0.0099851,           0.0099851,           0.0099851
                   4,            0.065679,            0.052995,           0.0083449,             0.50233,              0.4016,             0.38522,             0.13774,            0.065685,            0.053186,           0.0086288,           0.0099851,           0.0099851,           0.0099851
                   5,            0.063262,            0.052755,           0.0072543,             0.46159,             0.38139,              0.3528,             0.12344,            0.066941,            0.052576,           0.0086687,           0.0099802,           0.0099802,           0.0099802
                   6,            0.061828,            0.050667,           0.0067371,             0.55061,             0.47127,             0.45084,             0.16866,            0.061099,            0.051759,           0.0072127,           0.0099753,           0.0099753,           0.0099753
                   7,            0.060138,            0.050817,           0.0059389,             0.64544,             0.50525,             0.51711,             0.19804,            0.059721,            0.050757,           0.0073807,           0.0099703,           0.0099703,           0.0099703
                   8,            0.058409,            0.049278,           0.0055475,             0.66767,             0.53203,             0.56169,             0.22442,            0.057118,            0.048878,           0.0061486,           0.0099654,           0.0099654,           0.0099654
                   9,            0.057124,            0.048353,           0.0054247,             0.63249,             0.49704,             0.49822,             0.19463,            0.061348,            0.053513,           0.0068684,           0.0099604,           0.0099604,           0.0099604
                  10,            0.056365,            0.047563,            0.004844,             0.72896,             0.62104,             0.65395,             0.27602,            0.054839,            0.046018,           0.0053301,           0.0099555,           0.0099555,           0.0099555
                  11,            0.055296,            0.046672,           0.0045812,             0.76336,             0.58242,             0.64842,             0.26297,             0.05601,            0.046787,           0.0053434,           0.0099505,           0.0099505,           0.0099505
                  12,            0.053743,            0.045746,           0.0041498,             0.74807,             0.61601,             0.65889,             0.27223,            0.054382,              0.0459,           0.0051228,           0.0099456,           0.0099456,           0.0099456
                  13,             0.05304,            0.045612,           0.0039771,             0.75563,             0.60964,             0.65573,             0.28285,            0.055092,            0.046166,           0.0047384,           0.0099406,           0.0099406,           0.0099406
                  14,             0.05221,             0.04507,           0.0036564,              0.7615,              0.6502,             0.69112,             0.29941,            0.053345,            0.046359,           0.0047722,           0.0099357,           0.0099357,           0.0099357
                  15,            0.051086,            0.044404,           0.0036679,             0.79551,             0.63812,             0.68936,             0.31785,            0.053513,            0.046149,           0.0046897,           0.0099307,           0.0099307,           0.0099307
                  16,            0.050553,             0.04397,           0.0033452,             0.81291,             0.71219,             0.76324,             0.36507,            0.050103,             0.04326,           0.0030873,           0.0099258,           0.0099258,           0.0099258
                  17,            0.049636,            0.043394,           0.0033105,             0.79248,             0.69456,             0.74404,             0.34588,            0.050794,            0.044024,           0.0034493,           0.0099208,           0.0099208,           0.0099208
                  18,            0.049035,            0.043218,           0.0031632,             0.80329,             0.68763,             0.74029,             0.35723,            0.050011,            0.044596,           0.0037173,           0.0099159,           0.0099159,           0.0099159
                  19,            0.048122,            0.041859,           0.0029431,             0.82288,             0.72263,             0.77313,             0.38489,            0.048275,            0.042617,           0.0034698,           0.0099109,           0.0099109,           0.0099109
                  20,            0.047971,             0.04165,            0.003094,             0.83906,             0.72916,             0.78264,             0.40679,            0.047152,            0.042207,           0.0034569,            0.009906,            0.009906,            0.009906
                  21,            0.047154,            0.041505,           0.0027373,             0.82465,             0.74334,              0.7917,             0.39533,            0.047982,            0.043245,           0.0030604,            0.009901,            0.009901,            0.009901
                  22,             0.04667,            0.041549,           0.0027633,             0.86377,             0.77214,              0.8255,             0.42848,            0.046274,            0.041094,           0.0028722,           0.0098961,           0.0098961,           0.0098961
                  23,            0.045586,            0.039922,           0.0026247,             0.82191,             0.74875,              0.7966,             0.41066,            0.046854,            0.041846,           0.0031937,           0.0098911,           0.0098911,           0.0098911
                  24,            0.045301,            0.039765,           0.0025001,             0.86624,              0.7589,             0.81405,             0.42257,             0.04656,            0.041049,           0.0028442,           0.0098861,           0.0098861,           0.0098861
                  25,             0.04454,            0.039334,           0.0024619,             0.86903,             0.74106,             0.79782,             0.41594,            0.046901,            0.043009,           0.0031744,           0.0098812,           0.0098812,           0.0098812
                  26,            0.044245,            0.038992,           0.0023578,             0.88009,             0.75605,             0.81853,             0.43051,            0.045441,            0.041152,           0.0024334,           0.0098763,           0.0098763,           0.0098763
                  27,            0.043665,            0.039054,           0.0023293,             0.87316,             0.77973,             0.83508,             0.44144,            0.045068,            0.041176,           0.0026816,           0.0098713,           0.0098713,           0.0098713
                  28,            0.043009,            0.038231,           0.0021699,             0.83306,             0.75424,             0.79776,             0.41889,            0.046259,            0.041653,           0.0029282,           0.0098664,           0.0098664,           0.0098664
                  29,            0.043004,            0.038382,           0.0021584,             0.87587,             0.79767,             0.85331,             0.46718,            0.043693,            0.039962,           0.0021434,           0.0098614,           0.0098614,           0.0098614
                  30,            0.042617,            0.037642,           0.0022673,              0.8749,              0.7489,             0.80957,             0.42898,            0.046339,            0.040348,           0.0027919,           0.0098565,           0.0098565,           0.0098565
                  31,            0.042168,            0.036753,           0.0021792,             0.87743,             0.78857,             0.84396,             0.45741,             0.04374,             0.03999,           0.0023319,           0.0098515,           0.0098515,           0.0098515
                  32,            0.041637,            0.036899,           0.0020532,             0.88085,             0.79575,             0.85143,             0.47802,            0.043406,            0.039386,           0.0022209,           0.0098466,           0.0098466,           0.0098466
                  33,             0.04103,            0.036661,             0.00206,             0.90284,              0.7783,             0.84567,             0.47651,            0.042972,            0.040733,           0.0025509,           0.0098416,           0.0098416,           0.0098416
                  34,            0.041377,            0.037031,            0.001968,             0.85778,             0.79788,             0.83591,             0.46508,            0.044094,            0.040587,           0.0025185,           0.0098367,           0.0098367,           0.0098367
                  35,            0.040497,            0.036586,           0.0019479,             0.89681,             0.82111,             0.86841,             0.49462,             0.04166,            0.039416,           0.0020096,           0.0098317,           0.0098317,           0.0098317
                  36,            0.040159,            0.035638,           0.0019112,             0.90009,             0.80941,             0.86163,             0.48714,            0.042172,            0.039631,           0.0022362,           0.0098268,           0.0098268,           0.0098268
                  37,            0.040152,            0.036614,           0.0018581,             0.88027,             0.81775,             0.86991,             0.49674,            0.041668,            0.039292,           0.0023489,           0.0098218,           0.0098218,           0.0098218
                  38,            0.039569,            0.035607,           0.0017982,             0.89639,             0.81984,             0.86622,             0.49976,            0.041423,            0.038934,           0.0020578,           0.0098169,           0.0098169,           0.0098169
                  39,            0.039438,             0.03586,           0.0017794,             0.89794,             0.81285,             0.86689,              0.4953,             0.04144,            0.038792,           0.0020425,           0.0098119,           0.0098119,           0.0098119
                  40,            0.039162,            0.035536,           0.0017463,             0.89497,             0.80676,              0.8633,             0.50955,            0.040539,            0.038659,           0.0020559,            0.009807,            0.009807,            0.009807
                  41,            0.038847,            0.035521,           0.0016736,             0.91372,             0.78684,             0.85823,             0.49402,            0.041306,            0.038934,           0.0023233,            0.009802,            0.009802,            0.009802
                  42,            0.038485,            0.035262,           0.0016788,             0.90654,             0.81585,             0.86578,             0.50999,            0.040902,             0.03842,            0.002019,            0.009797,            0.009797,            0.009797
                  43,            0.038092,            0.034634,           0.0017243,             0.89531,             0.82038,             0.86363,             0.51634,            0.040417,            0.038913,           0.0019855,           0.0097921,           0.0097921,           0.0097921
                  44,            0.037862,            0.034747,           0.0016801,             0.89365,             0.81501,              0.8658,             0.51285,            0.041348,            0.039132,           0.0021003,           0.0097871,           0.0097871,           0.0097871
                  45,            0.037483,            0.034566,           0.0016373,             0.89687,             0.81475,             0.86124,             0.50595,            0.041012,            0.039258,            0.002062,           0.0097822,           0.0097822,           0.0097822
                  46,             0.03771,             0.03429,           0.0016364,             0.89418,             0.82436,             0.87442,             0.53488,            0.039099,            0.037705,           0.0019612,           0.0097773,           0.0097773,           0.0097773
                  47,            0.037021,            0.034177,           0.0016009,             0.91431,             0.81702,             0.87525,             0.53182,            0.039616,            0.038136,            0.002013,           0.0097723,           0.0097723,           0.0097723
                  48,            0.037013,            0.034017,           0.0015183,             0.91365,              0.8254,             0.87598,             0.54016,            0.039382,             0.03806,           0.0020951,           0.0097674,           0.0097674,           0.0097674
                  49,            0.036585,            0.033585,           0.0015569,              0.9074,             0.84217,             0.88556,             0.53841,            0.039532,            0.038393,           0.0018686,           0.0097624,           0.0097624,           0.0097624
                  50,            0.036548,            0.033141,           0.0015386,              0.9188,             0.82074,             0.87983,             0.53843,            0.039792,             0.03791,           0.0020302,           0.0097575,           0.0097575,           0.0097575
                  51,            0.036215,            0.033441,           0.0015235,             0.91589,             0.83459,             0.87839,             0.54175,            0.039341,            0.038062,           0.0018196,           0.0097525,           0.0097525,           0.0097525
