               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10445,            0.059807,            0.033912,           0.0021365,            0.083686,            0.002222,          0.00049503,            0.099094,            0.052693,            0.027362,            0.070048,            0.003328,            0.003328
                   1,            0.091332,            0.059931,            0.023034,             0.60947,             0.07312,            0.048729,              0.0141,            0.086318,            0.052128,            0.024267,            0.040042,           0.0066547,           0.0066547
                   2,            0.083227,            0.058613,              0.0201,             0.62195,             0.10587,            0.083244,             0.02253,            0.080095,             0.05243,            0.018835,            0.010028,           0.0099749,           0.0099749
                   3,             0.07872,            0.056842,            0.015861,             0.22465,             0.20958,             0.13941,              0.0415,            0.074461,            0.052927,            0.014719,           0.0099703,           0.0099703,           0.0099703
                   4,             0.07542,            0.057304,            0.013393,             0.33059,             0.23779,             0.19457,            0.058782,            0.070935,            0.052111,            0.012956,           0.0099703,           0.0099703,           0.0099703
                   5,            0.072979,            0.057447,            0.011907,             0.37051,             0.28445,             0.23261,            0.070448,            0.069083,            0.051758,            0.011493,           0.0099604,           0.0099604,           0.0099604
                   6,            0.071819,            0.055741,            0.011219,             0.34826,             0.26044,             0.22857,            0.072462,            0.070334,             0.05204,            0.012984,           0.0099505,           0.0099505,           0.0099505
                   7,            0.070938,            0.057306,            0.010506,             0.40446,             0.31508,             0.27966,            0.087679,            0.067636,            0.051496,            0.010483,           0.0099406,           0.0099406,           0.0099406
                   8,            0.069339,            0.055964,           0.0098717,             0.43243,             0.32512,             0.31061,             0.10521,            0.065002,            0.050635,           0.0092701,           0.0099307,           0.0099307,           0.0099307
                   9,            0.068593,            0.055399,           0.0097296,              0.4056,             0.36632,             0.32944,             0.10968,            0.064158,            0.051222,           0.0090613,           0.0099208,           0.0099208,           0.0099208
                  10,            0.067859,            0.055714,           0.0089493,             0.50466,             0.34355,             0.33372,             0.11723,            0.064185,            0.050945,           0.0092526,           0.0099109,           0.0099109,           0.0099109
                  11,            0.067433,            0.054983,           0.0086084,             0.47216,             0.36014,             0.34741,             0.11895,            0.063279,             0.05048,           0.0079123,            0.009901,            0.009901,            0.009901
                  12,            0.066293,            0.054652,            0.008222,             0.53464,             0.38618,             0.38139,             0.13711,             0.06209,            0.050171,            0.007494,           0.0098911,           0.0098911,           0.0098911
                  13,            0.065913,            0.055145,           0.0078707,             0.49231,             0.40454,             0.38624,             0.14159,            0.061908,            0.049905,           0.0076726,           0.0098812,           0.0098812,           0.0098812
                  14,            0.065573,            0.054649,           0.0078249,             0.50802,             0.40301,             0.39529,             0.13859,            0.061916,            0.050123,           0.0075049,           0.0098713,           0.0098713,           0.0098713
                  15,            0.064989,            0.054777,           0.0077245,             0.51943,              0.4084,             0.41191,                0.15,            0.060656,             0.04939,           0.0071887,           0.0098614,           0.0098614,           0.0098614
                  16,            0.064364,            0.054687,           0.0071489,              0.5361,             0.43146,              0.4283,             0.16037,             0.06008,            0.049024,            0.006806,           0.0098515,           0.0098515,           0.0098515
                  17,            0.063719,            0.053474,           0.0070938,             0.53988,             0.43349,             0.43693,             0.15985,            0.060311,            0.049625,           0.0067627,           0.0098416,           0.0098416,           0.0098416
                  18,            0.063595,            0.054121,           0.0068901,             0.58749,             0.45365,             0.46714,              0.1719,            0.059538,            0.048732,           0.0061845,           0.0098317,           0.0098317,           0.0098317
                  19,            0.062852,            0.052685,           0.0066015,             0.53252,              0.4588,             0.44584,              0.1625,            0.059647,            0.049349,           0.0062306,           0.0098218,           0.0098218,           0.0098218
                  20,            0.062736,            0.053746,           0.0066068,             0.58772,             0.46442,             0.48015,             0.17571,            0.059222,            0.048541,            0.006042,           0.0098119,           0.0098119,           0.0098119
                  21,            0.062115,            0.052426,           0.0063282,             0.63298,             0.46575,             0.49339,             0.18585,            0.058358,            0.048614,           0.0059165,            0.009802,            0.009802,            0.009802
                  22,            0.061796,            0.053618,           0.0065419,             0.59531,              0.5057,             0.50967,             0.18721,            0.058036,            0.048537,           0.0051778,           0.0097921,           0.0097921,           0.0097921
                  23,            0.061309,            0.051832,           0.0060953,             0.63595,             0.51698,             0.52541,             0.20175,            0.057309,            0.048285,            0.005216,           0.0097822,           0.0097822,           0.0097822
                  24,             0.06089,            0.052017,           0.0059342,             0.63293,             0.48287,             0.52485,             0.20367,            0.057436,            0.047771,           0.0054996,           0.0097723,           0.0097723,           0.0097723
                  25,            0.060505,            0.051703,           0.0057342,             0.63185,              0.5282,             0.54299,             0.21382,            0.056177,            0.048204,           0.0050624,           0.0097624,           0.0097624,           0.0097624
                  26,            0.060107,            0.051312,            0.005611,             0.64276,             0.52654,             0.54862,             0.21491,            0.056379,               0.047,           0.0049609,           0.0097525,           0.0097525,           0.0097525
                  27,             0.05983,            0.051392,           0.0055018,             0.66253,             0.53651,             0.55403,             0.21866,            0.055716,             0.04762,            0.004896,           0.0097426,           0.0097426,           0.0097426
                  28,            0.059106,            0.051338,           0.0053034,             0.64321,             0.55972,             0.57373,             0.22107,             0.05537,            0.047359,           0.0044775,           0.0097327,           0.0097327,           0.0097327
                  29,            0.059645,            0.050855,           0.0053835,              0.6352,             0.56349,             0.57622,             0.22115,            0.055229,            0.046679,           0.0041127,           0.0097228,           0.0097228,           0.0097228
                  30,            0.058913,            0.050169,           0.0051542,             0.65287,             0.55519,             0.57342,             0.23164,             0.05505,              0.0464,           0.0048002,           0.0097129,           0.0097129,           0.0097129
                  31,            0.058585,            0.049409,           0.0051641,              0.7045,             0.54827,             0.60487,             0.24587,            0.054237,            0.046015,           0.0040432,            0.009703,            0.009703,            0.009703
                  32,            0.058144,             0.05005,            0.004982,             0.72422,             0.57848,             0.62112,             0.24406,             0.05453,            0.046101,           0.0043605,           0.0096931,           0.0096931,           0.0096931
