               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10276,            0.056674,            0.029258,             0.56446,            0.060662,            0.030952,           0.0087941,            0.090034,            0.054766,             0.02307,            0.070192,            0.003312,            0.003312
                   1,            0.084311,             0.05718,            0.017598,             0.44331,             0.17243,             0.13448,            0.037331,            0.077048,            0.055684,            0.015633,            0.040186,           0.0066387,           0.0066387
                   2,            0.078228,            0.056428,            0.013241,             0.20454,             0.21792,             0.13634,            0.040977,            0.075554,            0.058863,            0.013596,            0.010173,           0.0099589,           0.0099589
                   3,            0.073323,            0.055746,             0.01135,             0.29417,             0.28098,             0.19397,            0.060501,            0.070772,            0.055447,            0.012837,           0.0099703,           0.0099703,           0.0099703
                   4,            0.069996,            0.056381,           0.0099131,             0.41397,             0.32807,             0.28013,            0.090454,            0.067512,            0.054704,           0.0099776,           0.0099703,           0.0099703,           0.0099703
                   5,            0.068113,            0.056178,           0.0089497,             0.44974,              0.3667,             0.34363,             0.11629,             0.06607,            0.054509,           0.0095977,           0.0099604,           0.0099604,           0.0099604
                   6,            0.066733,            0.054449,           0.0084248,             0.46786,             0.39045,             0.37335,             0.12969,            0.065343,            0.053936,           0.0078729,           0.0099505,           0.0099505,           0.0099505
                   7,            0.065908,            0.055433,           0.0077988,             0.52466,             0.44046,             0.42217,             0.15023,            0.062749,            0.052672,           0.0076739,           0.0099406,           0.0099406,           0.0099406
                   8,            0.064937,             0.05448,           0.0074569,             0.51024,              0.4127,             0.40189,              0.1378,            0.063269,            0.052366,           0.0073917,           0.0099307,           0.0099307,           0.0099307
                   9,            0.064137,            0.053488,           0.0071949,             0.55081,             0.44347,             0.44086,             0.15767,            0.062776,            0.052373,           0.0072757,           0.0099208,           0.0099208,           0.0099208
                  10,            0.063398,             0.05283,           0.0064777,             0.56045,             0.45715,             0.45757,             0.16305,            0.062104,            0.051585,           0.0065617,           0.0099109,           0.0099109,           0.0099109
                  11,            0.062471,            0.052902,           0.0063751,             0.51938,             0.46253,             0.43812,             0.15375,            0.063126,            0.053508,           0.0069948,            0.009901,            0.009901,            0.009901
