               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10373,            0.056277,            0.029266,             0.81608,             0.04036,            0.035188,            0.010044,            0.089926,            0.054545,             0.02343,            0.070192,            0.003312,            0.003312
                   1,            0.085558,            0.057445,            0.019184,             0.38159,             0.11736,            0.067385,            0.019507,            0.082139,            0.059122,            0.018109,            0.040186,           0.0066387,           0.0066387
                   2,            0.079947,            0.057102,            0.014874,             0.21271,             0.20249,             0.11724,            0.034387,            0.077055,            0.059447,            0.016627,            0.010173,           0.0099589,           0.0099589
                   3,            0.075264,            0.056432,            0.012573,             0.25759,             0.19327,             0.14473,            0.045124,            0.074492,             0.05747,            0.014826,           0.0099703,           0.0099703,           0.0099703
                   4,            0.071955,            0.057304,            0.011221,              0.3934,             0.28931,             0.23777,            0.074789,            0.070724,            0.055499,            0.010967,           0.0099703,           0.0099703,           0.0099703
                   5,            0.070005,            0.057081,            0.010057,             0.43483,             0.31306,             0.27554,            0.091149,            0.068617,            0.054687,            0.010546,           0.0099604,           0.0099604,           0.0099604
                   6,            0.068899,            0.055524,           0.0096938,             0.43165,             0.35077,             0.31719,             0.10578,            0.067173,             0.05427,            0.009108,           0.0099505,           0.0099505,           0.0099505
                   7,            0.067926,             0.05656,           0.0089236,             0.45168,             0.36758,             0.33597,             0.11602,             0.06592,            0.053772,           0.0088787,           0.0099406,           0.0099406,           0.0099406
                   8,            0.066741,             0.05568,            0.008405,             0.47113,             0.36062,             0.34612,               0.121,            0.064544,            0.053889,           0.0089074,           0.0099307,           0.0099307,           0.0099307
                   9,            0.066036,            0.054699,           0.0083319,             0.48757,             0.39387,             0.36795,             0.12491,             0.06507,            0.053264,           0.0078699,           0.0099208,           0.0099208,           0.0099208
                  10,            0.065334,            0.054232,           0.0076418,             0.48635,             0.38136,             0.36282,              0.1316,            0.063686,             0.05315,           0.0079429,           0.0099109,           0.0099109,           0.0099109
                  11,            0.064735,            0.054377,           0.0073918,             0.51606,             0.41672,             0.40839,             0.14344,            0.063588,             0.05299,           0.0076648,            0.009901,            0.009901,            0.009901
                  12,            0.063858,            0.053983,           0.0071458,             0.53776,              0.4421,             0.44136,             0.15648,            0.062621,            0.054342,           0.0070468,           0.0098911,           0.0098911,           0.0098911
