               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097417,            0.058153,            0.026957,             0.64116,             0.11096,            0.086211,            0.025848,            0.080426,            0.055645,            0.019471,            0.070192,            0.003312,            0.003312
                   1,            0.077275,            0.056185,            0.014132,             0.26238,             0.28967,              0.1995,            0.060128,            0.070967,            0.053767,            0.012171,            0.040186,           0.0066387,           0.0066387
                   2,             0.07266,            0.054991,            0.010877,             0.33733,             0.26321,             0.21566,            0.069102,            0.072822,            0.057416,            0.012794,            0.010173,           0.0099589,           0.0099589
                   3,            0.069446,            0.054423,           0.0098032,             0.41767,             0.33881,             0.29441,            0.098931,            0.068208,             0.05513,            0.010302,           0.0099703,           0.0099703,           0.0099703
                   4,            0.066399,            0.054717,           0.0085577,             0.49361,             0.39393,               0.376,             0.13759,            0.065069,            0.053374,           0.0098332,           0.0099703,           0.0099703,           0.0099703
                   5,            0.064178,            0.054069,           0.0074129,             0.54949,              0.4245,             0.40916,             0.15085,            0.065509,             0.05348,           0.0081447,           0.0099604,           0.0099604,           0.0099604
                   6,             0.06252,            0.052116,           0.0068792,             0.61624,             0.48768,             0.51018,             0.19901,            0.059977,            0.050819,           0.0062787,           0.0099505,           0.0099505,           0.0099505
                   7,            0.061117,            0.052554,           0.0063468,             0.64242,             0.52684,             0.53376,               0.209,            0.058918,            0.050226,           0.0064733,           0.0099406,           0.0099406,           0.0099406
                   8,            0.059565,            0.051265,           0.0057688,             0.71801,              0.5434,              0.5809,             0.23679,            0.057315,            0.049666,           0.0058154,           0.0099307,           0.0099307,           0.0099307
                   9,            0.058342,            0.050062,           0.0054685,             0.67324,             0.53604,             0.56101,             0.22838,             0.05794,            0.049965,           0.0061123,           0.0099208,           0.0099208,           0.0099208
                  10,            0.057455,            0.049045,           0.0049734,             0.68113,             0.52306,             0.56055,             0.23589,            0.058267,            0.049875,           0.0057037,           0.0099109,           0.0099109,           0.0099109
                  11,             0.05652,            0.049042,           0.0048084,             0.70343,             0.56966,              0.6142,             0.26039,            0.056383,            0.049683,           0.0055596,            0.009901,            0.009901,            0.009901
                  12,            0.055224,            0.047976,           0.0044491,             0.74745,             0.64402,             0.67901,              0.2936,            0.055099,            0.048196,            0.004343,           0.0098911,           0.0098911,           0.0098911
                  13,             0.05446,            0.047688,            0.004281,             0.76215,              0.6094,             0.65826,             0.28486,            0.054624,            0.048391,           0.0051555,           0.0098812,           0.0098812,           0.0098812
                  14,            0.053926,            0.047243,           0.0040419,             0.74398,             0.65092,             0.68288,             0.30335,            0.053568,             0.04726,             0.00427,           0.0098713,           0.0098713,           0.0098713
                  15,            0.052983,            0.046594,           0.0038521,             0.78886,             0.66998,             0.71695,             0.33285,            0.052156,            0.046617,           0.0037548,           0.0098614,           0.0098614,           0.0098614
                  16,            0.051999,             0.04656,           0.0034979,             0.76182,             0.68504,             0.71835,             0.32851,            0.052431,            0.046928,           0.0035989,           0.0098515,           0.0098515,           0.0098515
                  17,            0.051091,            0.045473,           0.0035219,             0.80043,             0.68507,             0.74593,             0.34087,            0.051663,            0.045957,           0.0032423,           0.0098416,           0.0098416,           0.0098416
                  18,            0.050549,            0.045479,           0.0032925,             0.81061,             0.68972,             0.74981,             0.35321,            0.050599,            0.045475,           0.0032621,           0.0098317,           0.0098317,           0.0098317
                  19,            0.050064,            0.044316,           0.0031822,             0.81504,             0.68642,             0.74254,             0.35788,             0.05033,            0.045563,           0.0032417,           0.0098218,           0.0098218,           0.0098218
                  20,            0.049754,            0.044178,           0.0031345,             0.84493,             0.72242,              0.7872,              0.3893,            0.048124,            0.043363,           0.0026691,           0.0098119,           0.0098119,           0.0098119
                  21,            0.048776,            0.043814,           0.0029481,             0.81249,              0.6484,             0.72026,             0.34308,            0.051831,            0.046132,           0.0043334,            0.009802,            0.009802,            0.009802
                  22,            0.048422,            0.043601,           0.0029753,             0.86793,             0.73993,             0.79272,             0.40622,            0.047464,            0.043034,           0.0026009,           0.0097921,           0.0097921,           0.0097921
                  23,            0.047565,            0.042578,           0.0027315,             0.85561,              0.7462,               0.801,             0.38586,            0.047929,            0.043316,           0.0029243,           0.0097822,           0.0097822,           0.0097822
                  24,             0.04733,            0.042499,           0.0028245,             0.82881,             0.75017,             0.79828,             0.40724,            0.047022,            0.043133,           0.0026198,           0.0097723,           0.0097723,           0.0097723
                  25,            0.046535,            0.041814,           0.0025978,             0.86384,             0.75326,             0.81258,             0.41966,            0.046843,            0.042709,           0.0023321,           0.0097624,           0.0097624,           0.0097624
                  26,            0.046109,            0.041229,           0.0025411,             0.87514,             0.78476,             0.83476,             0.43993,            0.045438,            0.041815,           0.0021409,           0.0097525,           0.0097525,           0.0097525
                  27,             0.04559,            0.041684,           0.0026062,             0.89092,              0.7478,              0.8182,             0.43866,            0.045821,             0.04224,           0.0022514,           0.0097426,           0.0097426,           0.0097426
                  28,            0.044834,            0.040898,           0.0023359,              0.8899,             0.77626,             0.83486,             0.44897,            0.044916,            0.041222,           0.0021701,           0.0097327,           0.0097327,           0.0097327
                  29,            0.044838,             0.04063,           0.0024162,             0.89187,             0.78623,             0.84405,             0.45647,            0.044556,            0.040796,           0.0021366,           0.0097228,           0.0097228,           0.0097228
