               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098508,            0.056718,            0.026998,             0.62956,            0.096927,            0.070981,            0.021277,            0.085235,            0.058295,            0.020255,            0.070192,            0.003312,            0.003312
                   1,            0.078578,            0.056411,            0.014543,             0.23638,             0.26406,             0.17591,            0.049882,            0.074189,            0.053996,            0.012916,            0.040186,           0.0066387,           0.0066387
                   2,            0.074356,            0.055627,            0.011556,             0.31944,             0.25607,             0.20556,            0.068905,            0.073057,            0.055855,            0.013705,            0.010173,           0.0099589,           0.0099589
                   3,            0.070704,            0.054971,            0.010322,             0.40489,             0.34039,             0.29472,             0.09908,            0.067822,             0.05442,           0.0098603,           0.0099703,           0.0099703,           0.0099703
                   4,            0.067727,             0.05547,           0.0089887,             0.44651,             0.30144,             0.28091,            0.098201,            0.070383,            0.056046,            0.013025,           0.0099703,           0.0099703,           0.0099703
                   5,            0.065706,            0.054982,           0.0080751,              0.4614,             0.35957,             0.33478,             0.11428,            0.067812,            0.053191,           0.0091558,           0.0099604,           0.0099604,           0.0099604
                   6,            0.063981,            0.053098,           0.0074442,             0.53226,             0.41917,             0.41423,             0.15485,            0.062724,            0.053252,           0.0078419,           0.0099505,           0.0099505,           0.0099505
                   7,            0.062973,            0.053847,           0.0069018,             0.63451,             0.41858,             0.45952,              0.1776,            0.061616,            0.054398,           0.0078007,           0.0099406,           0.0099406,           0.0099406
                   8,            0.061578,            0.052653,           0.0065057,             0.58278,             0.49599,             0.49938,             0.18794,            0.059957,            0.051504,           0.0062336,           0.0099307,           0.0099307,           0.0099307
                   9,            0.060589,            0.051551,           0.0061608,             0.65099,             0.51367,              0.5376,             0.20499,            0.059341,            0.050146,           0.0056071,           0.0099208,           0.0099208,           0.0099208
                  10,            0.059728,            0.050667,           0.0057039,             0.65054,             0.51581,             0.55373,             0.22419,            0.058566,            0.050217,           0.0053928,           0.0099109,           0.0099109,           0.0099109
                  11,            0.058607,            0.050743,           0.0053589,             0.64372,             0.57276,             0.57176,             0.22852,            0.057753,            0.050945,           0.0055595,            0.009901,            0.009901,            0.009901
                  12,            0.057786,            0.049828,           0.0050893,             0.70614,             0.58325,              0.6051,             0.24652,            0.057139,            0.048999,           0.0050055,           0.0098911,           0.0098911,           0.0098911
                  13,            0.056928,            0.049618,           0.0048147,             0.69066,             0.55407,             0.59408,             0.24677,             0.05643,            0.049312,           0.0048073,           0.0098812,           0.0098812,           0.0098812
                  14,            0.056169,            0.049269,           0.0045568,             0.77388,             0.54429,             0.62796,             0.26691,            0.055665,            0.049287,           0.0048979,           0.0098713,           0.0098713,           0.0098713
                  15,             0.05571,            0.048681,           0.0044972,             0.71302,             0.59158,             0.63402,             0.27168,            0.055057,            0.048244,           0.0040671,           0.0098614,           0.0098614,           0.0098614
                  16,            0.054869,            0.048863,           0.0040854,             0.76253,             0.60119,             0.66337,             0.27956,            0.055256,            0.048151,           0.0039955,           0.0098515,           0.0098515,           0.0098515
                  17,            0.054142,            0.047809,           0.0040634,             0.81288,             0.62813,             0.70824,             0.31359,            0.053013,            0.046644,           0.0035204,           0.0098416,           0.0098416,           0.0098416
                  18,            0.053591,            0.047967,           0.0039117,             0.74312,             0.57922,             0.63631,             0.27876,            0.056001,            0.050046,           0.0041071,           0.0098317,           0.0098317,           0.0098317
                  19,             0.05306,             0.04669,           0.0037589,             0.78595,             0.63664,             0.69897,             0.31153,            0.052478,            0.046948,           0.0034778,           0.0098218,           0.0098218,           0.0098218
                  20,            0.052785,            0.046641,           0.0036772,             0.75243,             0.59976,             0.66013,             0.29439,            0.054558,            0.048598,           0.0050602,           0.0098119,           0.0098119,           0.0098119
                  21,            0.051936,            0.046326,           0.0035247,             0.82063,             0.68926,             0.74987,             0.36005,            0.049967,            0.044774,           0.0029119,            0.009802,            0.009802,            0.009802
                  22,            0.051288,            0.046026,           0.0034422,             0.81097,             0.69513,             0.74527,             0.35064,            0.051442,            0.046295,           0.0032181,           0.0097921,           0.0097921,           0.0097921
                  23,            0.050724,            0.045271,           0.0033097,             0.83483,             0.69471,             0.76853,             0.37098,            0.049519,             0.04502,           0.0030403,           0.0097822,           0.0097822,           0.0097822
                  24,            0.050517,             0.04515,            0.003262,             0.80176,             0.71576,             0.76714,             0.36018,            0.049936,            0.045571,           0.0029053,           0.0097723,           0.0097723,           0.0097723
                  25,            0.049998,            0.044455,           0.0030807,             0.79971,              0.6856,             0.73126,             0.34893,            0.050144,            0.045475,           0.0027609,           0.0097624,           0.0097624,           0.0097624
                  26,            0.049387,            0.043813,           0.0029735,             0.83605,             0.73941,              0.7874,             0.37561,            0.049221,            0.043749,           0.0024479,           0.0097525,           0.0097525,           0.0097525
