               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10283,            0.056626,            0.029278,             0.58416,            0.064462,             0.03294,           0.0083812,            0.090039,            0.054115,            0.023199,            0.070192,            0.003312,            0.003312
                   1,            0.084534,            0.057207,            0.017744,             0.18217,             0.16514,             0.12115,            0.033552,            0.077443,            0.058625,            0.016079,            0.040186,           0.0066387,           0.0066387
                   2,            0.078519,            0.056405,            0.013338,             0.22822,             0.25157,              0.1704,            0.050694,            0.074451,            0.058578,            0.012702,            0.010173,           0.0099589,           0.0099589
                   3,            0.073066,            0.055824,            0.011395,             0.35591,              0.3007,             0.23317,             0.07305,            0.071296,            0.055065,            0.011858,           0.0099703,           0.0099703,           0.0099703
                   4,             0.07017,            0.056413,            0.010043,             0.42083,              0.3436,             0.31619,             0.10703,            0.066896,            0.053571,           0.0095267,           0.0099703,           0.0099703,           0.0099703
                   5,            0.067955,            0.056184,           0.0089713,             0.38229,             0.36344,             0.31032,             0.10247,            0.067783,            0.054848,            0.009382,           0.0099604,           0.0099604,           0.0099604
                   6,            0.066893,            0.054453,           0.0082961,             0.47026,             0.36871,             0.36298,             0.12914,            0.065184,            0.052962,           0.0084562,           0.0099505,           0.0099505,           0.0099505
                   7,            0.066064,            0.055427,           0.0078317,             0.50788,             0.36569,             0.36099,             0.12863,            0.065166,            0.053775,            0.008492,           0.0099406,           0.0099406,           0.0099406
                   8,            0.064731,            0.054488,           0.0073997,             0.56629,             0.42051,             0.41817,              0.1462,            0.064195,            0.052699,           0.0077057,           0.0099307,           0.0099307,           0.0099307
                   9,            0.063986,             0.05337,           0.0071422,             0.53001,             0.45392,             0.44215,             0.16642,            0.062477,            0.052177,           0.0070429,           0.0099208,           0.0099208,           0.0099208
                  10,            0.063326,            0.052818,           0.0065803,             0.50494,             0.43034,             0.41484,             0.14787,            0.063693,            0.053274,           0.0073279,           0.0099109,           0.0099109,           0.0099109
                  11,              0.0624,            0.052983,           0.0063836,             0.52873,             0.48602,             0.45989,              0.1723,            0.062149,            0.052378,           0.0064996,            0.009901,            0.009901,            0.009901
                  12,            0.061723,            0.052265,           0.0059061,             0.52726,             0.45518,             0.45633,             0.16714,            0.061478,            0.053279,           0.0067813,           0.0098911,           0.0098911,           0.0098911
                  13,             0.06118,            0.052341,           0.0057508,             0.62349,             0.47707,             0.50192,             0.19104,             0.05998,            0.051648,           0.0057282,           0.0098812,           0.0098812,           0.0098812
                  14,            0.060521,            0.051988,           0.0054742,             0.62371,              0.4728,             0.49324,             0.17913,            0.060826,            0.051192,            0.006255,           0.0098713,           0.0098713,           0.0098713
                  15,            0.060112,            0.051916,           0.0054742,              0.6404,             0.47913,             0.51937,             0.20622,            0.059705,            0.050742,           0.0064026,           0.0098614,           0.0098614,           0.0098614
                  16,            0.059443,            0.051972,           0.0050447,             0.61789,             0.55613,              0.5537,             0.22235,              0.0581,            0.050362,           0.0048605,           0.0098515,           0.0098515,           0.0098515
                  17,            0.058944,            0.051083,           0.0050007,              0.6444,             0.52413,             0.54408,             0.22208,            0.058717,            0.050221,           0.0049829,           0.0098416,           0.0098416,           0.0098416
                  18,            0.058336,            0.051243,           0.0047912,             0.68115,             0.52974,             0.56485,             0.22796,            0.058131,            0.049933,           0.0054568,           0.0098317,           0.0098317,           0.0098317
                  19,            0.057843,             0.05004,           0.0046693,             0.69015,             0.54055,             0.58351,             0.24256,            0.056794,            0.049281,           0.0047396,           0.0098218,           0.0098218,           0.0098218
