               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093996,            0.058007,            0.027025,             0.64145,             0.13451,            0.094058,            0.029372,            0.076602,            0.051697,            0.019103,            0.070096,           0.0033226,           0.0033226
                   1,            0.075325,            0.055814,             0.01366,             0.33034,             0.29677,             0.23293,            0.080102,            0.069172,            0.051749,            0.013075,             0.04009,           0.0066494,           0.0066494
                   2,             0.07137,            0.055288,            0.010512,             0.35463,             0.28123,             0.22967,            0.076224,            0.069879,            0.052394,            0.012992,            0.010077,           0.0099695,           0.0099695
                   3,            0.068375,            0.054043,           0.0092209,             0.48124,             0.40573,             0.37586,             0.12856,            0.063636,            0.050968,           0.0090736,           0.0099703,           0.0099703,           0.0099703
                   4,            0.065258,            0.054103,           0.0081185,             0.54424,             0.40484,             0.39983,             0.15029,            0.063083,            0.050918,           0.0092975,           0.0099703,           0.0099703,           0.0099703
                   5,            0.063412,            0.053506,           0.0071303,             0.58371,             0.39892,             0.40829,             0.15213,            0.062027,            0.052203,           0.0087819,           0.0099604,           0.0099604,           0.0099604
                   6,            0.061768,            0.051236,           0.0065958,             0.64635,             0.46692,             0.50221,             0.19616,             0.06053,            0.049923,           0.0067844,           0.0099505,           0.0099505,           0.0099505
                   7,            0.060548,            0.051982,           0.0060783,             0.73848,             0.58492,             0.62675,             0.24456,            0.056578,            0.047058,           0.0054888,           0.0099406,           0.0099406,           0.0099406
                   8,            0.058874,              0.0504,           0.0058451,             0.68502,             0.57593,              0.6004,             0.24117,            0.055356,            0.047301,           0.0055306,           0.0099307,           0.0099307,           0.0099307
                   9,            0.057358,            0.049289,           0.0053434,             0.74002,             0.60503,             0.64367,             0.26908,            0.054594,            0.046295,           0.0050389,           0.0099208,           0.0099208,           0.0099208
                  10,            0.056678,            0.049008,           0.0049154,             0.73808,             0.55795,             0.60552,             0.25811,            0.055416,            0.046777,           0.0058936,           0.0099109,           0.0099109,           0.0099109
                  11,            0.055665,            0.047967,           0.0045108,              0.7609,             0.64318,             0.69477,             0.31699,            0.051966,            0.044581,           0.0044657,            0.009901,            0.009901,            0.009901
                  12,            0.054144,            0.047373,           0.0043288,             0.78288,              0.6509,             0.71087,             0.32108,            0.051192,            0.044133,           0.0035985,           0.0098911,           0.0098911,           0.0098911
                  13,            0.053657,            0.047231,           0.0039225,             0.80813,             0.69363,             0.74549,             0.34332,            0.050314,            0.043387,           0.0039457,           0.0098812,           0.0098812,           0.0098812
                  14,            0.052717,            0.046025,           0.0037842,             0.81197,             0.69246,             0.74188,             0.35483,            0.049764,            0.043669,           0.0034308,           0.0098713,           0.0098713,           0.0098713
                  15,            0.051903,             0.04586,           0.0035963,             0.82949,             0.67605,             0.74444,             0.36128,            0.049458,               0.043,           0.0030385,           0.0098614,           0.0098614,           0.0098614
                  16,            0.051202,             0.04559,           0.0035149,             0.82906,             0.68599,             0.75885,             0.37511,            0.048489,            0.042956,           0.0029173,           0.0098515,           0.0098515,           0.0098515
                  17,            0.050174,             0.04436,            0.003377,             0.83166,             0.71874,             0.78015,             0.37608,            0.047937,            0.041768,           0.0027976,           0.0098416,           0.0098416,           0.0098416
                  18,            0.049411,            0.044828,           0.0031172,             0.84912,             0.73248,             0.79042,             0.39443,            0.047065,            0.041034,           0.0028416,           0.0098317,           0.0098317,           0.0098317
